NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (km2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
DEF06,01053111,Schnakenbek,Schnakenbek,no,,,,,,,,,,,,,,,
DEF06,01053112,Schönberg,Schönberg,no,,,,,,,,,,,,,,,
DEF06,01053113,Schretstaken,Schretstaken,no,,,,,,,,,,,,,,,
DEF06,01053114,Schürensöhlen,Schürensöhlen,no,,,,,,,,,,,,,,,
DEF06,01053115,Schulendorf,Schulendorf,no,,,,,,,,,,,,,,,
DEF06,01053116,"Schwarzenbek, Stadt","Schwarzenbek, Stadt",no,,,,,,,,,,,,,,,
DEF06,01053117,Seedorf,Seedorf,no,,,,,,,,,,,,,,,
DEF06,01053118,Siebenbäumen,Siebenbäumen,no,,,,,,,,,,,,,,,
DEF06,01053119,Siebeneichen,Siebeneichen,no,,,,,,,,,,,,,,,
DEF06,01053120,Sierksrade,Sierksrade,no,,,,,,,,,,,,,,,
DEF06,01053121,Sirksfelde,Sirksfelde,no,,,,,,,,,,,,,,,
DEF06,01053122,Steinhorst,Steinhorst,no,,,,,,,,,,,,,,,
DEF06,01053123,Sterley,Sterley,no,,,,,,,,,,,,,,,
DEF06,01053124,Stubben,Stubben,no,,,,,,,,,,,,,,,
DEF06,01053125,Talkau,Talkau,no,,,,,,,,,,,,,,,
DEF06,01053126,Tramm,Tramm,no,,,,,,,,,,,,,,,
DEF06,01053127,Walksfelde,Walksfelde,no,,,,,,,,,,,,,,,
DEF06,01053128,Wangelau,Wangelau,no,,,,,,,,,,,,,,,
DEF06,01053129,Wentorf bei Hamburg,Wentorf bei Hamburg,no,,,,,,,,,,,,,,,
DEF06,01053130,Wentorf (Amt Sandesneben),Wentorf (Amt Sandesneben),no,,,,,,,,,,,,,,,
DEF06,01053131,Wiershop,Wiershop,no,,,,,,,,,,,,,,,
DEF06,01053132,Witzeeze,Witzeeze,no,,,,,,,,,,,,,,,
DEF06,01053133,Wohltorf,Wohltorf,no,,,,,,,,,,,,,,,
DEF06,01053134,Woltersdorf,Woltersdorf,no,,,,,,,,,,,,,,,
DEF06,01053135,Worth,Worth,no,,,,,,,,,,,,,,,
DEF06,01053136,Ziethen,Ziethen,no,,,,,,,,,,,,,,,
DEF07,01054001,Achtrup,Achtrup,no,,,,,,,,,,,,,,,
DEF07,01054002,Ahrenshöft,Ahrenshöft,no,,,,,,,,,,,,,,,
DEF07,01054003,Ahrenviöl,Ahrenviöl,no,,,,,,,,,,,,,,,
DEF07,01054004,Ahrenviölfeld,Ahrenviölfeld,no,,,,,,,,,,,,,,,
DEF07,01054005,Alkersum,Alkersum,no,,,,,,,,,,,,,,,
DEF07,01054006,Almdorf,Almdorf,no,,,,,,,,,,,,,,,
DEF07,01054007,Arlewatt,Arlewatt,no,,,,,,,,,,,,,,,
DEF07,01054009,Aventoft,Aventoft,no,,,,,,,,,,,,,,,
DEF07,01054010,Bargum,Bargum,no,,,,,,,,,,,,,,,
DEF07,01054011,Behrendorf,Behrendorf,no,,,,,,,,,,,,,,,
DEF07,01054012,Bohmstedt,Bohmstedt,no,,,,,,,,,,,,,,,
DEF07,01054013,Bondelum,Bondelum,no,,,,,,,,,,,,,,,
DEF07,01054014,Bordelum,Bordelum,no,,,,,,,,,,,,,,,
DEF07,01054015,Borgsum,Borgsum,no,,,,,,,,,,,,,,,
DEF07,01054016,Bosbüll,Bosbüll,no,,,,,,,,,,,,,,,
DEF07,01054017,Braderup,Braderup,no,,,,,,,,,,,,,,,
DEF07,01054018,Bramstedtlund,Bramstedtlund,no,,,,,,,,,,,,,,,
DEF07,01054019,"Bredstedt, Stadt","Bredstedt, Stadt",no,,,,,,,,,,,,,,,
DEF07,01054020,Breklum,Breklum,no,,,,,,,,,,,,,,,
DEF07,01054022,Dagebüll,Dagebüll,no,,,,,,,,,,,,,,,
DEF07,01054023,Drage,Drage,no,,,,,,,,,,,,,,,
DEF07,01054024,Drelsdorf,Drelsdorf,no,,,,,,,,,,,,,,,
DEF07,01054025,Dunsum,Dunsum,no,,,,,,,,,,,,,,,
DEF07,01054026,Elisabeth-Sophien-Koog,Elisabeth-Sophien-Koog,no,,,,,,,,,,,,,,,
DEF07,01054027,Ellhöft,Ellhöft,no,,,,,,,,,,,,,,,
DEF07,01054032,Fresendelf,Fresendelf,no,,,,,,,,,,,,,,,
DEF07,01054033,"Friedrichstadt, Stadt","Friedrichstadt, Stadt",no,,,,,,,,,,,,,,,
DEF07,01054034,Friedrich-Wilhelm-Lübke-Koog,Friedrich-Wilhelm-Lübke-Koog,no,,,,,,,,,,,,,,,
DEF07,01054035,"Garding, Kirchspiel","Garding, Kirchspiel",no,,,,,,,,,,,,,,,
DEF07,01054036,"Garding, Stadt","Garding, Stadt",no,,,,,,,,,,,,,,,
DEF07,01054037,Goldebek,Goldebek,no,,,,,,,,,,,,,,,
DEF07,01054038,Goldelund,Goldelund,no,,,,,,,,,,,,,,,
DEF07,01054039,Gröde,Gröde,no,,,,,,,,,,,,,,,
DEF07,01054040,Grothusenkoog,Grothusenkoog,no,,,,,,,,,,,,,,,
DEF07,01054041,Haselund,Haselund,no,,,,,,,,,,,,,,,
DEF07,01054042,Hattstedt,Hattstedt,no,,,,,,,,,,,,,,,
DEF07,01054043,Hattstedtermarsch,Hattstedtermarsch,no,,,,,,,,,,,,,,,
DEF07,01054045,Högel,Högel,no,,,,,,,,,,,,,,,
DEF07,01054046,Hörnum (Sylt),Hörnum (Sylt),no,,,,,,,,,,,,,,,
DEF07,01054048,Holm,Holm,no,,,,,,,,,,,,,,,
DEF07,01054050,Hallig Hooge,Hallig Hooge,no,,,,,,,,,,,,,,,
DEF07,01054052,Horstedt,Horstedt,no,,,,,,,,,,,,,,,
DEF07,01054054,Hude,Hude,no,,,,,,,,,,,,,,,
DEF07,01054055,Humptrup,Humptrup,no,,,,,,,,,,,,,,,
DEF07,01054056,"Husum, Stadt","Husum, Stadt",no,,,,,,,,,,,,,,,
DEF07,01054057,Immenstedt,Immenstedt,no,,,,,,,,,,,,,,,
DEF07,01054059,Joldelund,Joldelund,no,,,,,,,,,,,,,,,
